Road_Name,Road_Number
ELMONT CT,41011
ELMWOOD DR,26750
EMERALD LAKE WY (EMERALD LK),46711
EMERY RD,31470
EMMA RD,12640
EMMERSON RD,65710
ENTERPRISE RD,32990
ENTERPRISE RD N,32980
ENTERPRISE RD N,32980
ESPANA PL,71170
ETHAN CT,46470
EUCLID AV,45650
EVERETT RD,23850
EVERGREEN WY,9190
EVERS CT (PARADISE LKS),88480
EVERSON GOSHEN RD,55230
FAIRVIEW ST,46050
FARIS RD,22980
FARM DR,31450
FAWN CRESCENT RD,25410
FAZON RD,56150
FERN ST,25660
FERNDALE RD,12800
FINKBONNER RD,12550
FINSRUD RD,68632
FINSRUD RD (N OFF DEMING),68631
FIR LN (GLENHAVEN),43019
FIR LN (PARADISE LKS),88540
FIR ST,9940
FIR ST,25820
FIR TREE WY (W OF GENEVA ST),45801
FIR WY,25440
FIRDALE WY,31010
FIRMEADOW CT,31030
FIRST ST,69010
FIRWOOD DR,30860
FLANNEGAN RD,63660
FLEET RD,26240
FLYNN RD,31630
FOREST CT,71460
FOREST LN,71440
FOREST ST (GLACIER),89970
FOREST ST (MAPLE FALLS),89790
FORSBERG RD,24880
FORT BELLINGHAM RD,70570
FORTUNE LN,35250
FOUNTAIN RD,56790
FOURTH ST,24250
FOX HOLE RD,8550
FOX RD,22920
FREMONT ST,45740
FRIDAY CR RD,41670
FROBERG RD,35830
FROST RD,68130
GABRIOLA CT,45840
GADWA RD,30350
GALA CT (BROWNSVILLE),46593
GALA LOOP (BROWNSVILLE),46594
GALBRAITH LN (N OFF SAMISH),41290
GALBRAITH LN N,41300
GALBRAITH RD,89120
GALIANO DR (SANDY PT HTS),15712
GARRISON RD,62210
GARRISON RD,62211
GARTH RD,9960
GENEVA HILLS RD,45640
GENEVA ST,45970
GEORGE RD,9180
GEORGE CT,65250
GEORGIA WY,9360
GEORGIAN DR,15500
GERARD DR,73490
GERMAINE RD,14900
GILES RD,32110
GILLIES RD,66710
GILMORE RD,66420
GINKGO DR (PARADISE LKS),89050
GLACIER CT (GLACIER SPRINGS),85013
GLACIER SPRINGS DR (GLACIER SPRINGS),85011
GLEN COVE LN,45660
GLENDALE DR (HARBORVIEW),26186
GLENDALE RD (S OF BADGER RD W),33130
GLENHAVEN DR (GLENHAVEN),43018
GLORIA LN,42600
GOLDEN CT,46400
GOLDEN VALLEY DR (PARADISE LKS),88330
GOLDENBROOK WY (FUTURE CONST),26130
GOLF VIEW DR,58900
GOODMAN RD,12600
GOODWIN RD,66250
GOOSEBERRY SPUR,12740
GOSHEN RD,56140
GOVERNOR PL,40750
GOVERNOR RD,40790
GRAFTON ST,26800
GRALER PL,11960
GRANADA WY,71140
GRAND BLVD,46170
GRANDVIEW PL,30720
GRANDVIEW RD,22210
GRANGER WY,11410
GRAVELINE RD,73070
GREEN ST,45760
GREENVILLE CT (TWEED TWENTY),46524
GREENVILLE DR (TWEED TWENTY),46522
GREENVILLE PL (TWEED TWENTY),46523
GREENVILLE ST (TWEED TWENTY),46526
GREENWOOD DR,9210
GRIFFITH AV,70340
GROUSE CRESCENT,25290
GROVE RD,12580
GUEMES WY (SANDY PT HTS),15715
GULF RD,2400
GULF RD,21910
H ST RD,11000
HACKETT RD,55610
HAGGIN RD,46510
HALES PASSAGE DR,10320
HALIBUT DR,23520
HALL RD,26660
HALVERSTICK RD,62180
HAM RD,23830
HAMMER RD,62270
HAMPTON RD,61700
HANNAH CT,46810
HANNEGAN RD,55110
HARBOR CT,34710
HARBOR DR,26230
HARBOR LN (KEL BAY),13480
HARBOR PL (KEL BAY),13630
HARBOR PL (OFF CALIFORNIA TRL),13630
HARBOR SEAL DR,26280
HARBORVIEW CONNECTOR,8230
HARBORVIEW DR (S OF H ST),26430
HARBORVIEW RD,34760
HARBORVIEW RD,26420
HARKSELL RD,30960
HARMONY RD,55720
HARMONY ROSE LN,15050
HARNDEN RD,14200
HARVEY RD,34480
HATCHERY RD,89610
HATLEY RD,25100
HAVEMAN RD,61500
HAWTHORNE PL (PARADISE LKS),88860
HAXTON WY,12750
HAYNIE RD,35220
HAZEL CT (DEER CREEK),73412
HAZEL CT (PARADISE LKS),88520
HAZEL LN,25580
HEADY RD,88300
HEATHER WY,9090
HEL-LYN PL,46430
HELWEG LN,22400
HELWEG RD,22600
HEMLOCK WY (GLENHAVEN),43027
HEMMI RD E,56320
HEMMI RD W,76320
HENDERSON RD,47200
HENLEY ST (AT FORSBERG),24930
HENLEY ST (NW OFF HARBORVIEW),24790
HENRY RD,21980
HERITAGE HILLS CT (TWEED TWENTY),46535
HERON LN,68026
HEWLETT CT,41012
HIDDEN PL,46540
HIGH BLUFF DR,8640
HIGHLAND DR,8520
HIGHLAND DR,23540
HILINE RD,40620
HILL RD,67420
HILL SPRING RD (TWEED TWENTY),46521
HILLAIRE RD,16000
HILLARD RD,68670
HILLSDALE RD,46560
HILLSIDE RD,89630
HILLTOP DR (GLENHAVEN),43024
HILLVIEW RD,67550
HILLVUE RD,25260
HINKLEY ST,24730
HOFF RD,72050
HOFF RD E,65140
HOIER RD,34490
HOLEMAN AV,22340
HOLLINGSWORTH RD,89190
HOLLY CT (TWEED TWENTY),46518
HOLLY LN (OFF SKYLINE),34570
HOLLY LN (PARADISE LKS),88410
HOLLYWOOD AV,71230
HOLMES RD,89180
HOLMQUIST RD,62430
HOLTZHEIMER TRL,26320
HOLZ RD,59290
HOMESTEADER RD,89340
HOPEWELL RD,65500
HORTON RD,54600
HOVANDER RD,73340
HOVEL RD,66620
HOWARD AV,70370
HOYT RD,26700
HUDSON LN (DEER CREEK),73413
HUDSON RD,89250
HUGHES RD,65740
HUISMAN RD,59000
HUMMINGBIRD PL,10360
HUNTLEY RD,55460
ILLINOIS ST W,72040
IMHOF RD,20610
INNIS CREEK RD,88850
IOWA HGTS RD,45210
IRIS BLVD,9010
IRVING WY,70520
ISLAND DR (LUMMI ISLAND),10960
ISLAND VIEW DR,70250
ISLAND VIEW LN (LUMMI ISLAND),12090
IVY CT (PARADISE LKS),88860
JACKMAN RD,36250
JACKSON RD,21950
JADE PL (EMERALD LK),46715
JAMES RD,2020
JAMES RD,89460
JAMISON ST,10510
JASPER PL (EMERALD LK),46713
JENSEN RD,47130
JESS RD,32920
JILL ST,22410
JOANS LN (LUMMI ISLAND),11140
JOHNSON RD,2030
JONES LN,72150
JONES RD,68020
JONNA DR,8950
JUDY WY,73420
JUNIPER LN (PARADISE LKS),88450
JUNIPER PL (PARADISE LKS),88800
KAAS RD,30400
KAITLYN CT,73040
KALE LN,73080
KAMM RD,61780
KARBER RD,22550
KAREN ST (DEMING),69110
KELBAY AV (KEL BAY),13150
KELLY RD,55500
KENDOR RD,8590
KENDRA CT (GLACIER SPRINGS),85022
KENNEDY RD,9160
KENT DR,73530
KEY PL (GLENHAVEN),43045
KEY ST,23820
KEYSTONE WY,46260
KICKERVILLE RD,21850
KILARNEY PL,9260
KIMBERLY RD,9480
KING MTN RD N (OFF KLINE RD),54630
KING TUT RD,76720
KINGSWOOD CT,46860
KIOWA CUT (PARADISE LKS),88040
KLINE RD,54660
KNORR CT,23120
KOEHN RD,22200
KOPE RD,72540
KRAGT RD,62010
KWINA RD,16010
LA BELLO DR (VISTA LAMONTE),58711
LA MONTE DR (VISTA LAMONTE),58718
LAHTI CT (TWEED TWENTY),46534
LAHTI DR (TWEED TWENTY),46511
LAINE CT,73570
LAKE LOUISE RD,46010
LAKE SAMISH DR E,41750
LAKE SAMISH DR N,44170
LAKE SAMISH DR W,44020
LAKE TERRELL RD,15600
LAKE WHATCOM BLVD,44120
LAKEMONT RD,46490
LAKEPOINT PL (GLENHAVEN),43015
LAKESIDE DR (GLENHAVEN),43012
LAKEVIEW ST,45710
LAKEWAY DR,45690
LAKEWOOD LN,45810
LAMPMAN RD,20530
LANE SPIT DR,12160
LANGARA CI,45830
LANGE RD,73500
LANKHAAR RD,59050
LARGAUD DR,8350
LARIAT PL,88260
LARSON RD (E OF NORTHWEST),73541
LARSON RD (W OF SR 539),73542
SMITH RD E,55080
SMITH RD W,75080
SMOKEHOUSE RD,13000
SOLE WY,23521
SOMMERSET CT (TWEED TWENTY),46527
SORENSON RD,66640
SOUNDVIEW RD,40540
SOUTH BAY DR,44130
SOUTH BEACH RD,8160
SOUTH HILLS DR,40950
SOUTH HILLS PL,40970
SOUTH PASS RD,66040
SOUTH RED RIVER RD,16400
SOUTHGATE RD (GEORGIA MANOR),12890
SOUTHWELL RD,62350
SPRING COULEE RD (TWEED TWENTY),46514
SPRING ST,45880
SPRINGFIELD CT N,41020
SPRINGFIELD CT S,40990
SPRUCE CT (PARADISE LKS),88930
SPRUCE LN (GLENHAVEN),43028
SQUALICUM LK RD,47170
SQUIRES RD,41950
ST ANDREWS WY (E OF WOODBINE WY),41140
ST ANDREWS WY (S OF WOODBINE WY),41150
STADSVOLD RD,35210
STANDARD RD,89350
STARFISH LN,23513
STARRY RD,53690
STEIN RD,32610
STELLER CT,46350
STICKNEY ISLAND RD,61330
STORR RD,21250
STRAKA RD,88290
STRAND RD,89400
STRAWBERRY POINT RD,46610
STUART CR (SALT SPRING),14812
SUCIA DR,14750
SUCIA WY,8420
SUMAS RD,67610
SUMMERLAND RD,41940
SUMMIT PL (GLENHAVEN),43035
SUNNYBROOK LN,46620
SUNRISE COVE RD,11030
SUNRISE DR,8910
SUNRISE RD (E OFF NUGENT RD),11000
SUNRISE RD (N OFF BIRCH BAY LYNDEN),35550
